"","Name","Class","Role","Tier","Score","Trend","Win %","Role %","Pick %","Ban %","KDA","Patch"
"176","Skarner","Fighter","TOP","D",37.25,"-0.01","47.66%","47.49%","0.28%","0.08%",2.02,"13_24"
"177","Sona","Support","SUPPORT","B",45.99,"+1.16","49.48%","98.59%","0.91%","0.03%",2.74,"13_24"
"178","Soraka","Support","SUPPORT","A",51.2,"+1.25","50.60%","98.52%","3.33%","0.20%",2.68,"13_24"
"179","Swain","Mage","ADC","A",51.35,"+0.78","55.45%","24.90%","0.81%","0.96%",3.16,"13_24"
"180","Swain","Mage","MID","B",46.82,"-4.24","53.16%","18.92%","0.69%","1.05%",2.78,"13_24"
"181","Swain","Mage","SUPPORT","B",46.7,"+1.64","50.04%","49.25%","1.88%","0.96%",2.27,"13_24"
"182","Sylas","Mage","MID","God",91.02,"+15.28","50.41%","69.07%","12.90%","31.16%",2.16,"13_24"
"183","Sylas","Mage","JUNGLE","C",43.45,"-6.42","46.29%","20.22%","3.84%","31.16%",2.29,"13_24"
"184","Syndra","Mage","MID","God",62.57,"+6.56","50.60%","94.20%","8.31%","6.38%",2.22,"13_24"
"185","Tahm Kench","Support","TOP","A",50.82,"+4.69","52.44%","49.92%","1.25%","0.31%",2.51,"13_24"
"186","Tahm Kench","Support","ADC","A",49.75,"-0.19","55.53%","22.18%","0.47%","0.28%",2.92,"13_24"
"187","Tahm Kench","Support","SUPPORT","C",43.2,"-0.66","49.10%","24.54%","0.62%","0.31%",2.25,"13_24"
"188","Taliyah","Mage","JUNGLE","S",55.62,"-2.98","51.95%","83.16%","6.62%","7.85%",2.67,"13_24"
"189","Taliyah","Mage","MID","B",45.64,"-4.84","53.05%","12.88%","0.97%","7.43%",2.39,"13_24"
"190","Talon","Assassin","MID","S",59.63,"+6.95","53.42%","61.97%","5.28%","5.47%",2.45,"13_24"
"191","Talon","Assassin","JUNGLE","A",51.29,"+1.20","51.95%","37.43%","3.10%","5.47%",2.69,"13_24"
"192","Taric","Support","SUPPORT","A",48.61,"-0.48","50.96%","94.95%","1.09%","0.10%",2.75,"13_24"
"193","Teemo","Marksman","TOP","B",44.26,"-4.07","49.73%","71.35%","2.23%","3.31%",1.66,"13_24"
"194","Teemo","Marksman","JUNGLE","D",38.35,"-0.79","47.14%","16.85%","0.60%","3.59%",2.1,"13_24"
"195","Teemo","Marksman","SUPPORT","D",34.82,"-4.78","45.40%","18.38%","0.35%","3.29%",1.62,"13_24"
"196","Thresh","Support","SUPPORT","God",64.07,"-1.00","49.73%","99.66%","12.55%","4.68%",2.49,"13_24"
"197","Tristana","Marksman","ADC","B",44.33,"+0.70","52.63%","63.41%","2.13%","0.53%",2.41,"13_24"
"198","Tristana","Marksman","MID","D",37.74,"-6.27","49.79%","33.82%","1.23%","0.53%",1.94,"13_24"
"199","Trundle","Fighter","TOP","God",71.32,"+18.09","48.12%","88.37%","9.80%","30.72%",1.1,"13_24"
"200","Tryndamere","Fighter","TOP","B",43.83,"-3.44","49.68%","82.02%","2.09%","1.66%",1.69,"13_24"
"201","Tryndamere","Fighter","MID","D",39.66,"-3.75","51.79%","18.94%","0.42%","1.72%",2.04,"13_24"
"202","Twisted Fate","Mage","MID","A",52.48,"-3.18","50.12%","96.88%","5.26%","0.56%",2.43,"13_24"
"203","Twitch","Marksman","ADC","C",42.19,"-2.10","51.10%","70.66%","2.08%","0.61%",2.52,"13_24"
"204","Twitch","Marksman","SUPPORT","C",41.3,"+1.52","48.46%","21.81%","0.65%","0.60%",1.98,"13_24"
"205","Udyr","Fighter","TOP","B",47.92,"-0.11","51.02%","58.52%","1.71%","1.05%",2.2,"13_24"
"206","Udyr","Fighter","JUNGLE","B",43.62,"-1.29","49.34%","46.38%","0.99%","0.46%",2.45,"13_24"
"207","Urgot","Fighter","TOP","B",47.9,"+1.71","52.05%","89.08%","1.38%","0.14%",2.04,"13_24"
"208","Varus","Marksman","ADC","God",63.09,"+1.44","50.63%","92.51%","16.76%","7.32%",2.37,"13_24"
"209","Vayne","Marksman","ADC","B",44.78,"+0.49","51.56%","67.48%","4.36%","3.43%",2.21,"13_24"
"210","Vayne","Marksman","TOP","B",43.66,"-1.85","51.05%","27.64%","1.52%","3.32%",1.48,"13_24"
"211","Veigar","Mage","MID","C",43.44,"-3.23","51.67%","67.13%","1.51%","0.30%",2.21,"13_24"
"212","Veigar","Mage","ADC","D",39.3,"999NEW","51.50%","10.81%","0.27%","0.33%",2.32,"13_24"
"213","Veigar","Mage","SUPPORT","D",37.83,"+2.04","46.78%","19.00%","0.46%","0.33%",1.82,"13_24"
"214","Vel'Koz","Mage","SUPPORT","B",45.14,"-1.34","50.27%","76.33%","1.20%","0.12%",2.02,"13_24"
"215","Vel'Koz","Mage","MID","D",36.15,"-5.74","49.07%","20.04%","0.33%","0.12%",2.4,"13_24"
"216","Vex","Mage","MID","B",48.14,"-2.03","49.86%","97.51%","4.01%","3.17%",2.32,"13_24"
"217","Vi","Fighter","JUNGLE","B",47.31,"-1.37","48.97%","98.04%","4.84%","0.94%",2.44,"13_24"
"218","Viego","Assassin","JUNGLE","A",51.4,"-0.43","49.94%","94.24%","6.85%","0.57%",2.52,"13_24"
"219","Viktor","Mage","MID","C",43.46,"-2.74","49.50%","93.16%","3.03%","0.79%",2.15,"13_24"
"220","Vladimir","Mage","TOP","B",44,"-1.31","49.97%","42.85%","1.10%","0.33%",2.12,"13_24"
"221","Vladimir","Mage","MID","C",43.08,"-7.33","50.95%","55.82%","1.47%","0.33%",2.43,"13_24"
"222","Volibear","Fighter","TOP","B",46.75,"+0.10","49.49%","90.43%","3.34%","0.92%",1.7,"13_24"
"223","Warwick","Fighter","TOP","B",46.77,"+0.20","51.74%","48.17%","1.36%","0.48%",1.93,"13_24"
"224","Warwick","Fighter","JUNGLE","C",43.17,"-1.94","49.00%","58.79%","1.98%","0.55%",2.18,"13_24"
"225","Wukong","Fighter","JUNGLE","C",40.17,"-2.14","46.88%","69.67%","1.18%","0.13%",2.53,"13_24"
"226","Wukong","Fighter","TOP","D",38.87,"-1.34","48.49%","28.56%","0.48%","0.13%",1.95,"13_24"
"227","Xayah","Marksman","ADC","A",49.65,"-8.27","50.09%","99.65%","8.88%","3.31%",2.39,"13_24"
"228","Xerath","Mage","SUPPORT","S",57.93,"+2.96","51.07%","60.21%","6.58%","16.32%",2.33,"13_24"
"229","Xerath","Mage","MID","S",55.09,"+1.89","50.54%","38.83%","3.86%","15.30%",3.17,"13_24"
